Vehicle_Reference,Vehicle_Type,Vehicle_Manoeuvre,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Survival
2,9,18,8,0,0,1,6,1,45,1794,1,11,1
1,9,9,8,0,0,1,6,2,25,1582,2,1,1
2,9,18,8,0,0,1,6,1,51,-1,-1,-1,1
1,20,4,0,0,0,1,1,1,50,4462,2,1,1
1,9,15,1,0,0,1,6,1,27,1598,2,-1,1
2,1,9,5,0,0,1,6,1,46,-1,-1,-1,1
1,3,4,2,0,0,1,1,2,27,50,1,8,0
2,9,4,2,0,0,1,1,1,33,1995,2,10,0
1,9,14,1,0,0,1,6,1,24,1398,1,1,0
1,9,4,0,0,0,1,6,1,25,1686,2,8,1
2,8,4,0,0,0,1,1,1,43,1997,2,6,1
1,1,18,1,0,0,1,6,1,29,-1,-1,-1,1
2,9,18,1,0,0,1,6,2,43,1149,1,5,1
1,9,5,8,0,0,1,3,2,41,2967,2,1,0
2,9,18,8,0,0,1,2,2,23,999,1,1,0
3,9,2,1,0,0,1,6,2,51,1199,1,16,1
4,9,2,1,0,0,1,3,1,45,1796,1,12,0
5,9,2,1,0,0,1,6,1,51,1798,1,8,1
1,9,5,8,0,0,1,6,2,55,4000,1,8,1
2,1,18,8,0,0,1,4,1,15,-1,-1,-1,0
1,9,4,0,0,0,1,6,2,37,1598,2,3,0
2,9,4,0,0,0,1,6,1,26,1197,1,1,0
1,9,18,8,0,0,1,6,1,40,2995,1,5,1
2,9,9,8,0,0,1,6,2,48,1242,1,8,1
1,9,18,8,0,0,1,2,2,47,1896,2,7,0
1,9,9,8,0,0,1,6,1,37,-1,-1,-1,1
2,9,18,8,0,0,1,6,1,41,1896,2,7,1
1,9,16,0,1,0,1,6,1,32,1396,1,11,1
1,9,18,0,0,0,1,6,3,-1,1686,2,10,1
2,9,3,0,0,0,1,6,1,33,-1,-1,-1,1
1,9,18,1,0,0,1,6,1,15,1242,1,8,1
2,9,9,1,0,0,1,6,2,31,1198,1,1,0
1,11,18,0,0,0,1,1,3,-1,-1,-1,-1,0
1,9,18,8,0,0,1,6,1,30,-1,-1,-1,0
2,1,18,8,0,0,1,6,2,33,-1,-1,-1,1
1,9,18,8,0,0,1,6,1,27,1997,2,7,1
2,9,18,8,0,0,1,6,2,33,1390,1,3,1
1,9,18,0,1,0,1,6,1,26,1396,1,12,1
2,9,18,0,0,0,1,6,2,51,1587,1,10,0
3,10,18,0,0,0,1,1,1,33,-1,-1,-1,0
1,9,18,0,0,0,1,6,1,25,-1,-1,-1,1
1,1,18,8,0,0,1,1,1,13,-1,-1,-1,0
2,9,18,8,0,0,1,6,2,51,998,1,1,1
1,9,18,0,0,0,1,2,1,34,-1,-1,-1,1
2,9,12,0,0,0,1,2,2,25,1229,1,10,1
1,9,9,8,0,0,1,2,2,40,1598,1,10,0
2,1,18,8,0,0,1,2,1,33,-1,-1,-1,1
1,9,18,8,0,0,1,2,2,65,998,1,8,1
2,9,7,6,0,0,1,2,2,27,1086,1,7,1
1,9,18,0,0,4,1,1,1,51,1997,2,2,1
2,9,3,0,0,0,1,1,1,37,998,1,1,1
3,9,3,0,0,0,1,1,1,35,1995,2,3,1
1,9,18,0,0,0,1,6,2,26,-1,-1,-1,0
1,9,18,2,0,0,1,6,1,40,1198,1,10,0
2,9,18,2,0,0,1,1,2,40,1560,2,5,0
3,9,18,2,0,0,1,2,2,50,1598,1,4,1
1,9,18,8,0,0,1,6,1,31,2148,2,6,1
2,9,8,5,0,0,1,1,2,31,1461,2,1,1
1,9,5,6,0,0,1,1,2,34,998,1,6,1
2,3,16,8,0,0,1,6,1,17,125,1,5,0
1,9,7,5,0,0,1,6,1,68,1997,1,12,0
2,11,18,8,0,0,1,1,1,68,9360,2,6,1
1,5,17,8,2,0,1,6,1,30,599,1,15,0
2,9,2,8,0,0,1,6,2,48,1796,1,8,1
1,9,7,6,1,0,1,6,1,26,1598,1,8,1
2,9,7,6,0,0,1,1,1,43,2993,2,2,1
1,9,5,8,0,0,1,6,1,31,1598,1,1,0
2,19,18,8,5,0,1,1,1,58,2143,2,1,0
1,9,18,8,0,0,1,1,1,40,1598,1,12,0
2,9,9,8,0,0,1,2,2,44,1560,2,1,0
